Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,New_Price,Price,mileage_num,engine_num,power_num,Brand,Model
Mumbai,2016,52001,Petrol,Automatic,First,5,21.085,10.11,14.28,1798,138.03,toyota,corolla
Ahmedabad,2008,58005,Diesel,Manual,Second,5,21.77,4.25,14.9,1991,112.2,hyundai,elantra
Bangalore,2012,70704,Petrol,Manual,First,7,18.64,10.95,11.25,2694,163.7,toyota,innova
Jaipur,2014,75000,Diesel,Manual,First,5,8.23,3.85,24.4,1120,71,hyundai,xcent
Jaipur,2012,75800,Diesel,Manual,Second,6,11.39,5.5,16.55,2498,105,mahindra,thar
Kochi,2015,13648,Diesel,Automatic,First,5,53.14,21.43,17.11,1968,174.33,audi,a4
Delhi,2014,52000,Diesel,Manual,First,5,7.88,4.25,22.9,1248,74,maruti,swift
Kolkata,2014,53000,Diesel,Manual,First,5,7.88,3.3,17.8,1248,75,maruti,swift
Delhi,2013,65650,Diesel,Manual,First,5,7.88,3.85,28.4,1248,74,maruti,swift
Chennai,2015,54000,Petrol,Manual,Third,5,7.45,3.6,18.9,1197,82,hyundai,grand
Kolkata,2015,39000,Petrol,Manual,First,5,13.23,3.99,15.04,1598,103.2,volkswagen,vento
Kochi,2017,16542,Petrol,Manual,First,5,4.78,3.3,25.17,799,53.3,renault,kwid
Kolkata,2010,32000,Petrol,Manual,First,5,10.25,2.07,20.36,1197,78.9,hyundai,i10
Hyderabad,2010,121812,Diesel,Automatic,First,5,11.33,7.75,13.29,1995,147.6,nissan,x-trail
Hyderabad,2010,39300,Petrol,Manual,First,5,7.88,2.25,18.2,998,67.1,maruti,zen
Mumbai,2017,22000,Diesel,Manual,First,8,19.34,16.5,13.68,2393,147.8,toyota,innova
Bangalore,2010,72000,Diesel,Manual,First,5,7.65,2.75,20,1399,68,ford,figo
Delhi,2015,58000,Petrol,Automatic,First,5,49.49,26.7,11.74,1796,186,mercedes-benz,new
Pune,2011,65000,Diesel,Manual,Second,5,49.49,10,15.8,2148,170,mercedes-benz,new
Chennai,2016,178000,Diesel,Manual,First,5,7.63,2.5,25,1396,69,tata,indica
Jaipur,2012,65664,Diesel,Automatic,First,5,53.14,13.5,16.55,1968,140,audi,a4
Mumbai,2007,63000,Petrol,Automatic,Second,5,13.58,1.85,16.4,1497,78,honda,city
Coimbatore,2019,15369,Diesel,Automatic,First,5,49.14,35.67,,1950,194,mercedes-benz,c-class
Pune,2016,63000,Diesel,Manual,First,7,11.27,8.15,24.52,1248,88.5,maruti,ertiga
Mumbai,2018,13000,Diesel,Manual,First,5,11.81,10.5,22.1,1396,88.7,hyundai,creta
Mumbai,2008,73000,Petrol,Automatic,First,5,136,14.5,8.5,4806,500,porsche,cayenne
Mumbai,2015,55729,Diesel,Manual,First,7,18.865,9.65,15.1,2179,140,mahindra,xuv500
Kochi,2012,45178,Petrol,Automatic,First,5,10.25,3.48,16.95,1197,78.9,hyundai,i10
Kochi,2015,56066,Diesel,Manual,First,5,16.65,6.92,19.64,1461,108.5,nissan,terrano
Coimbatore,2016,37300,Petrol,Automatic,Second,5,6.62,6.46,16.5,1198,86.8,honda,brio
Delhi,2014,56000,Diesel,Automatic,Second,5,67.1,29.5,18.53,1968,187.74,audi,a6
Jaipur,2008,111111,Diesel,Manual,First,5,11.685,2,17.8,1399,,ford,fiesta
Chennai,2006,230000,Petrol,Manual,Third,8,24.01,4.5,12.4,1998,132,toyota,innova
Hyderabad,2012,104000,Diesel,Manual,First,7,24.01,11.75,12.8,2494,102,toyota,innova
Hyderabad,2005,87591,Petrol,Manual,First,5,4.55,1.3,,1086,,hyundai,santro
Jaipur,2012,95100,Diesel,Manual,First,5,7.88,3.75,22.9,1248,74,maruti,swift
Pune,2017,70000,Petrol,Manual,First,5,6.67,4.5,17.57,1193,88.7,tata,zest
Kochi,2016,54944,Petrol,Manual,First,5,8.54,4.82,18,1198,86.7,honda,amaze
Hyderabad,2012,70337,Diesel,Manual,First,5,7.65,2.8,20,1399,68,ford,figo
Jaipur,2013,99638,Diesel,Manual,First,5,7.88,3.11,23.2,1248,73.94,maruti,ritz
Delhi,2009,52000,Petrol,Manual,First,5,13.58,3.25,17.8,1497,117.3,honda,city
Delhi,2011,75000,Diesel,Automatic,Second,5,67.87,13.9,16.73,1995,218,bmw,5
Pune,2009,95980,Petrol,Manual,First,5,10.25,2.25,20.36,1197,78.9,hyundai,i10
Bangalore,2016,16000,Petrol,Manual,First,5,7.45,5.75,18.9,1197,82,hyundai,grand
Hyderabad,2007,73745,Petrol,Manual,First,5,4.55,2.1,17,1086,,hyundai,santro
Mumbai,2016,18949,Petrol,Manual,First,5,8.54,5,17.8,1198,86.7,honda,amaze
Delhi,2014,107000,Diesel,Manual,First,7,37.17,16.5,13,2982,168.5,toyota,fortuner
Coimbatore,2018,48367,Diesel,Automatic,First,5,67.1,39.58,17.68,1968,174.33,audi,a6
Delhi,2013,57000,Diesel,Manual,First,5,11.685,5.5,22.7,1498,89.84,ford,ecosport
Delhi,2014,58000,Diesel,Manual,First,7,18.865,8.1,15.1,2179,140,mahindra,xuv500
Kolkata,2015,30000,Diesel,Manual,First,5,8.54,3.5,25.8,1498,98.6,honda,amaze
Kolkata,2013,34212,Diesel,Manual,First,5,10.15,2.79,22.07,1199,73.9,volkswagen,polo
Ahmedabad,2010,70002,Diesel,Manual,First,5,14.255,3.45,16.2,1493,110,hyundai,verna
Bangalore,2016,62000,Petrol,Manual,First,5,5.51,4.45,18.9,998,67.1,maruti,wagon
Delhi,2010,62001,Petrol,Manual,First,5,10.15,2.65,15.26,1598,103.5,volkswagen,polo
Pune,2011,78958,Diesel,Manual,Second,5,10.25,3.8,23,1396,90,hyundai,i20
Mumbai,2014,30180,Petrol,Manual,First,5,10.25,4.65,18.5,1197,82.85,hyundai,i20
Pune,2017,32851,Petrol,Manual,First,7,6.45,3.95,19.83,1198,67,datsun,go
Kolkata,2010,30000,Diesel,Automatic,First,5,53.14,9.8,14.94,2967,241.4,audi,a4
Pune,2009,66000,Petrol,Manual,Second,5,10.25,2.7,17,1197,80,hyundai,i20
Coimbatore,2010,93850,Petrol,Manual,First,5,7.88,2.41,14,796,35,maruti,omni
Ahmedabad,2014,53000,Petrol,Manual,First,5,6.41,3.9,17.71,1197,78.9,toyota,etios
Hyderabad,2011,78000,Diesel,Automatic,Second,5,69.675,24,14.74,2993,270.9,jaguar,xf
Delhi,2012,65000,Diesel,Manual,Second,7,18.865,5.75,16,2179,140,mahindra,xuv500
Kolkata,2014,40000,Diesel,Automatic,First,5,14.255,5.25,22.32,1582,126.32,hyundai,verna
Mumbai,2017,30000,Diesel,Automatic,First,7,27,19.25,11.36,2755,171.5,toyota,innova
Coimbatore,2017,38053,Petrol,Manual,First,5,5.13,3.91,15.1,1196,73,maruti,eeco
Bangalore,2014,25500,Petrol,Manual,First,4,7.63,2.15,25.4,624,37.5,tata,nano
Mumbai,2015,56087,Diesel,Automatic,First,5,54.43,20.75,22.69,1995,190,bmw,3
Delhi,2010,71088,Petrol,Manual,First,5,13.58,3.35,13.5,1799,130,honda,civic
Ahmedabad,2014,55000,Diesel,Manual,First,7,24.01,11.11,12.99,2494,100.6,toyota,innova
Bangalore,2014,32700,Diesel,Automatic,First,5,37.9,20,23.3,1984,150,volvo,v40
Coimbatore,2016,39882,Petrol,Automatic,First,5,9.51,6.55,19.15,1198,75.94,nissan,micra
Mumbai,2009,128000,Petrol,Automatic,First,5,67.87,7,10.8,2497,215,bmw,5
Mumbai,2016,55000,Diesel,Manual,First,5,9.96,7.5,24.3,1248,88.5,maruti,vitara
Mumbai,2005,102000,Petrol,Manual,Second,5,4.55,0.85,17,1086,,hyundai,santro
Pune,2014,53753,Diesel,Automatic,Second,5,37.03,16.75,15,2143,107.3,mercedes-benz,b
Kolkata,2018,10250,Diesel,Manual,First,5,14.44,10.95,22,1582,126.2,hyundai,verna
Pune,2011,43874,Petrol,Manual,First,5,5.51,2.45,18.9,998,67.1,maruti,wagon
Coimbatore,2017,32684,Petrol,Automatic,First,4,7.63,3.23,21.9,624,37.48,tata,nano
Kolkata,2014,42000,Diesel,Manual,First,8,18.865,7.75,12.05,2179,120,mahindra,scorpio
Kolkata,2009,28352,Petrol,Automatic,First,5,49.49,9.35,11.7,1796,178,mercedes-benz,new
Pune,2013,89900,CNG,Manual,First,5,5.51,3.25,26.6,998,58.16,maruti,wagon
Bangalore,2007,47700,Petrol,Manual,Second,5,33.51,5.25,10.8,2354,152,honda,cr-v
Pune,2015,55000,Diesel,Automatic,First,5,13.23,7.25,21.21,1498,103.2,volkswagen,vento
Kochi,2017,44285,Petrol,Manual,First,5,11.11,7.47,20.73,1373,91.1,maruti,ciaz
Jaipur,2016,54000,Diesel,Automatic,First,7,18.865,13.25,16,2179,140,mahindra,xuv500
Coimbatore,2016,30232,Petrol,Manual,First,5,7.88,5.81,21.1,1197,85.8,maruti,ritz
Hyderabad,2014,88500,Petrol,Manual,First,5,4.53,2.6,24.07,998,67.1,maruti,alto
Kolkata,2017,13372,Petrol,Automatic,First,2,95.04,54,19,2996,362.07,mercedes-benz,slc
Kochi,2019,12645,Petrol,Automatic,First,5,13.49,11.5,17,1591,121.3,hyundai,verna
Chennai,2010,94385,Petrol,Manual,Second,5,4.36,1.6,19.7,796,46.3,maruti,alto
Coimbatore,2015,31821,Diesel,Automatic,First,5,55.07,17.22,20.58,1995,143,bmw,1
Mumbai,2015,12000,Petrol,Automatic,First,5,9.6,6,19,1199,88.7,honda,jazz
Delhi,2012,88578,Petrol,Manual,First,5,13.58,3.95,13.5,1799,130,honda,civic
Kochi,2014,44965,Diesel,Automatic,First,5,49.49,17.95,19.27,2143,170,mercedes-benz,new
Kolkata,2014,45044,Diesel,Manual,First,5,8.54,3.7,25.8,1498,98.6,honda,amaze
Kochi,2016,34204,Petrol,Manual,First,5,7.88,5.43,22,1197,81.8,maruti,swift
Kochi,2008,80759,Petrol,Manual,Third,5,4.55,1.67,17,1086,,hyundai,santro
Coimbatore,2012,91235,Diesel,Manual,First,7,37.17,13.49,11.5,2982,171,toyota,fortuner
Pune,2014,38800,Petrol,Manual,First,5,11.3,2.85,18.6,1199,76.8,chevrolet,beat
Chennai,2013,83000,Diesel,Manual,First,5,14.22,4.75,21.14,1498,103.52,skoda,rapid
Kochi,2018,41283,Petrol,Manual,First,5,11.11,9.9,20.73,1373,91.1,maruti,ciaz
Mumbai,2013,23000,Petrol,Automatic,First,4,128,37,11.05,2894,444,audi,rs5
Mumbai,2014,48000,Diesel,Automatic,First,5,60.88,26.5,21.76,1995,190,bmw,3
Coimbatore,2015,48214,Diesel,Automatic,First,5,53.14,23.32,17.11,1968,174.33,audi,a4
Chennai,2016,35000,Diesel,Manual,First,5,7.88,6.25,22.9,1248,74,maruti,swift
Kolkata,2010,35277,Petrol,Automatic,First,5,49.49,30,7.81,5461,362.9,mercedes-benz,s
Coimbatore,2016,54620,Diesel,Automatic,First,5,14.22,9.86,21.66,1498,103.52,skoda,rapid
Pune,2012,136997,Diesel,Automatic,First,5,33.36,8.5,17.2,1968,138.1,skoda,superb
Kochi,2019,14322,Petrol,Manual,First,5,10.25,4.23,21.1,814,55.2,hyundai,eon
Jaipur,2012,65634,Diesel,Manual,First,5,10.15,3.5,22.07,1199,73.9,volkswagen,polo
Kolkata,2016,6000,Petrol,Manual,First,5,6.095,2.5,20.63,1198,67.06,datsun,go
Kolkata,2013,33280,Petrol,Manual,First,5,6.62,2.39,19.4,1198,86.8,honda,brio
Delhi,2013,29000,Petrol,Automatic,First,5,37.03,11.25,14.8,1595,120.7,mercedes-benz,b
Kochi,2015,42831,Diesel,Manual,First,5,13.58,7.11,26,1498,98.6,honda,city
Ahmedabad,2016,90000,Diesel,Manual,First,7,24.01,10.9,12.99,2494,100.6,toyota,innova
Ahmedabad,2017,24005,Petrol,Manual,First,5,7.88,6.2,20.4,1197,81.8,maruti,swift
Mumbai,2012,32792,Diesel,Manual,First,7,18.865,7.9,15.1,2179,140,mahindra,xuv500
Kochi,2014,147898,Diesel,Manual,First,5,11.685,4.42,22.7,1498,89.84,ford,ecosport
Mumbai,2012,131765,Diesel,Manual,First,7,37.17,13.5,13,2982,168.5,toyota,fortuner
Chennai,2013,65000,Diesel,Automatic,First,5,13.23,6.25,21.5,1498,108.5,volkswagen,vento
Jaipur,2010,66123,Diesel,Manual,Second,5,7.65,2.1,20,1399,68,ford,figo
Mumbai,2015,41000,Diesel,Automatic,First,5,55.07,45,15.3,2993,258,bmw,x5
Coimbatore,2017,23550,Diesel,Automatic,First,5,49.49,33.66,19.27,2143,167.62,mercedes-benz,new
Bangalore,2012,45000,Petrol,Manual,Second,5,6.62,3.65,19.4,1198,86.8,honda,brio
Delhi,2013,60000,Petrol,Manual,First,5,10.25,2.75,20.36,1197,78.9,hyundai,i10
Bangalore,2016,44414,Diesel,Automatic,First,5,63.805,42.5,17.9,2143,170,mercedes-benz,glc
Kolkata,2019,1000,Petrol,Manual,First,5,7.39,6.5,18.9,1197,81.86,hyundai,grand
Mumbai,2012,62500,Diesel,Automatic,Second,5,67.1,19,17.68,1968,174.33,audi,a6
Mumbai,2013,21000,Petrol,Automatic,Second,5,13.23,4.45,14.4,1598,103.6,volkswagen,vento
Jaipur,2017,8525,Diesel,Automatic,Second,5,42.12,23,16.6,1998,112,mini,countryman
Bangalore,2014,29000,Diesel,Manual,First,5,10.25,8.35,22.54,1396,88.73,hyundai,i20
Mumbai,2014,40000,Diesel,Automatic,First,5,67.1,22.95,17.68,1968,174.33,audi,a6
Jaipur,2012,88000,Diesel,Manual,First,5,11.3,1.5,25.44,936,57.6,chevrolet,beat
Kochi,2012,53537,Petrol,Automatic,First,5,33.36,6.89,13.7,1798,157.75,skoda,superb
Chennai,2006,216000,Diesel,Manual,Second,5,11.685,1.45,17.8,1399,68,ford,fiesta
Hyderabad,2014,51000,Diesel,Automatic,First,5,69.47,33.5,22.48,1995,190,bmw,5
Jaipur,2007,118500,Petrol,Manual,First,5,11.3,1.25,12.9,1598,102.5,chevrolet,optra
Hyderabad,2012,63000,Diesel,Manual,First,5,10.15,4.2,22.07,1199,73.9,volkswagen,polo
Mumbai,2015,25000,Diesel,Manual,First,8,15.05,6.75,19.98,1461,108.5,renault,lodgy
Bangalore,2014,37382,Diesel,Automatic,First,5,86.97,32,13,2143,201.1,mercedes-benz,e-class
Kochi,2017,24773,Petrol,Manual,First,5,8.78,7.5,21.4,1197,83.1,maruti,baleno
Delhi,2012,62000,Diesel,Manual,First,5,14.255,4.6,22.32,1582,126.32,hyundai,verna
Kochi,2017,52340,Petrol,Manual,First,5,10.25,4.04,19.81,1086,68.05,hyundai,i10
Kochi,2016,56739,Diesel,Manual,First,7,18.865,10.31,15.4,1997,120,mahindra,scorpio
Coimbatore,2018,36091,Diesel,Automatic,First,5,120,55.76,12.7,2179,187.7,land,rover
Chennai,2010,120000,Diesel,Manual,First,5,7.65,2.6,20,1399,68,ford,figo
Mumbai,2016,33000,Diesel,Manual,First,7,12.74,8.5,25.47,1248,88.5,maruti,ertiga
Ahmedabad,2007,60006,Petrol,Manual,First,,13.58,2.95,,,,honda,city
Kolkata,2014,52000,Diesel,Manual,First,5,8.54,3.5,25.8,1498,98.6,honda,amaze
Jaipur,2015,43571,Petrol,Manual,First,5,10.25,3.55,20.36,1197,78.9,hyundai,i10
Kolkata,2013,50000,Diesel,Manual,First,5,8.54,3.25,25.8,1498,98.6,honda,amaze
Hyderabad,2008,113000,Diesel,Manual,First,5,25.83,4.5,17.5,1896,106,skoda,laura
Delhi,2014,90000,Diesel,Manual,First,5,15.05,5.35,19.87,1461,83.8,renault,duster
Chennai,2017,29000,Diesel,Manual,Second,7,10.52,6.5,17.45,1493,100,mahindra,nuvosport
Mumbai,2016,20000,Diesel,Manual,First,5,11.98,9,24.3,1248,88.5,maruti,vitara
Kochi,2016,61012,Petrol,Manual,First,5,10.25,6,18.6,1197,81.83,hyundai,i20
Jaipur,2009,87459,Petrol,Manual,First,5,25.83,2.75,14.7,1390,85,skoda,fabia
Pune,2010,70500,Petrol,Manual,First,5,7.63,1.5,15.64,1193,64.1,tata,indigo
Delhi,2015,64103,Diesel,Automatic,First,5,44.8,19.9,15.73,1968,174.33,audi,q3
Mumbai,2014,76000,Petrol,Automatic,First,5,25.83,10,14.7,1798,177.5,skoda,octavia
Delhi,2014,104000,Diesel,Manual,First,5,8.525,3,23.59,1364,67.06,toyota,etios
Kolkata,2010,42001,Petrol,Manual,First,,7.88,2.11,16.1,,,maruti,swift
Kochi,2014,37245,Petrol,Automatic,First,5,37.03,11.96,14.8,1595,120.7,mercedes-benz,b
Kolkata,2013,45000,Diesel,Manual,First,5,8.54,3.25,27.4,1498,98.6,honda,amaze
Jaipur,2012,117837,Diesel,Manual,Second,5,14.255,4.75,22.32,1582,126.32,hyundai,verna
Mumbai,2014,30000,Diesel,Manual,First,5,15.05,5.95,20.46,1461,83.8,renault,duster
Delhi,2015,27057,Petrol,Manual,Second,5,16.06,8.15,15.29,1591,121.3,hyundai,creta
Mumbai,2016,8500,Petrol,Automatic,First,5,5.51,4.22,20.51,998,67,maruti,wagon
Kolkata,2010,30500,Petrol,Automatic,First,5,49.49,10.5,11.74,1796,186,mercedes-benz,new
Delhi,2012,56000,Diesel,Automatic,First,5,53.14,45,11.8,2967,246.7,audi,a8
Pune,2012,44000,Petrol,Manual,Second,5,10.25,2.9,19.81,1086,68.05,hyundai,i10
Mumbai,2017,10500,Petrol,Automatic,First,5,14.22,8.9,14.3,1598,103.52,skoda,rapid
Hyderabad,2017,26000,Petrol,Automatic,First,5,33.58,26,14.67,1798,177.46,skoda,superb
Coimbatore,2018,25166,Petrol,Manual,First,5,10.25,8.22,17.19,1197,81.86,hyundai,i20
Kolkata,2014,64000,Diesel,Manual,Second,5,8.54,3.5,25.8,1498,98.6,honda,amaze
Chennai,2004,61000,Petrol,Manual,Second,5,5.51,1.25,18.9,998,67.1,maruti,wagon
Hyderabad,2013,107000,Diesel,Manual,First,5,9.12,3.7,21.03,1461,65,mahindra,verito
Coimbatore,2018,29161,Diesel,Automatic,First,5,49.49,39.41,19.27,2143,167.62,mercedes-benz,new
Kolkata,2013,32000,Petrol,Manual,First,5,5.29,2.65,22.5,998,67.04,maruti,wagon
Coimbatore,2015,46173,Diesel,Manual,Second,5,16.65,8.92,19.01,1461,108.5,nissan,terrano
Delhi,2013,47000,Diesel,Manual,First,5,7.88,4.1,17.8,1248,,maruti,swift
Kochi,2017,26327,Petrol,Automatic,First,4,44.28,35.67,16.82,1998,189.08,mini,cooper
Bangalore,2015,70436,Diesel,Manual,First,,7.65,3.6,,1498,99,ford,figo
Jaipur,2007,200000,Diesel,Manual,Second,5,7.63,0.85,17.2,1396,53.5,tata,indica
Kochi,2016,60813,Petrol,Manual,Second,5,11.3,3.32,18.6,1199,76.8,chevrolet,beat
Mumbai,2012,45000,Diesel,Manual,First,5,10.15,3.6,22.07,1199,73.9,volkswagen,polo
Hyderabad,2016,64000,Diesel,Manual,First,5,7.88,6.8,22.9,1248,74,maruti,swift
Kolkata,2012,41284,Diesel,Manual,First,5,7.65,2.5,20,1399,68.05,ford,figo
Kochi,2019,14165,Diesel,Automatic,First,7,20.74,19.64,11.36,2755,171.5,toyota,innova
Mumbai,2011,67000,Diesel,Automatic,Second,7,10.25,7,11.72,2199,194.3,hyundai,santa
Kolkata,2011,32572,Petrol,Manual,First,5,11.74,3.87,17.4,1497,117.3,honda,city
Kochi,2018,14960,Petrol,Manual,First,5,10.25,6.27,18.6,1197,81.83,hyundai,i20
Kochi,2015,55980,Diesel,Automatic,First,5,49.49,18.12,19.27,2143,167.62,mercedes-benz,new
Mumbai,2013,74000,Diesel,Manual,First,5,11.3,2.65,25.44,936,57.6,chevrolet,beat
Kochi,2015,56847,Diesel,Manual,First,5,10.25,7.2,22.54,1396,88.73,hyundai,i20
Coimbatore,2015,121374,Diesel,Manual,First,7,24.01,14.3,12.99,2494,100.6,toyota,innova
Chennai,2013,52000,Diesel,Manual,First,7,11.27,6.9,20.77,1248,88.76,maruti,ertiga
Mumbai,2014,118000,Diesel,Manual,First,7,24.01,10.75,12.8,2494,102,toyota,innova
Mumbai,2007,72000,Petrol,Manual,Third,5,4.55,0.95,17,1086,,hyundai,santro
Kochi,2016,33915,Petrol,Manual,First,5,13.58,8.09,17.8,1497,117.3,honda,city
Ahmedabad,2014,82002,Diesel,Automatic,First,5,48.18,18.5,17.05,1995,184,bmw,x1
Mumbai,2017,33000,Diesel,Manual,First,5,7.45,4.75,24,1120,70,hyundai,grand
Chennai,2016,34000,Diesel,Manual,First,5,11.11,8.45,28.09,1248,88.5,maruti,ciaz
Kolkata,2012,55000,Diesel,Manual,First,5,14.22,3.5,20.5,1598,103.6,skoda,rapid
Kochi,2006,160538,Diesel,Manual,First,5,10.25,1.8,13.1,1493,82,hyundai,accent
Jaipur,2014,60000,Diesel,Manual,Second,5,10.15,3.7,19.91,1498,103.6,volkswagen,polo
Coimbatore,2017,49575,Petrol,Manual,First,5,9.6,7.17,18.7,1199,88.7,honda,jazz
Jaipur,2010,83000,Petrol,Manual,First,5,10.25,1.75,19.81,1086,68.05,hyundai,i10
Kochi,2018,51346,Diesel,Automatic,First,5,27.825,21.99,16.38,1995,183,hyundai,tucson
Pune,2017,43000,Diesel,Manual,First,7,25.52,18.65,13.68,2393,147.8,toyota,innova
Jaipur,2011,35000,Petrol,Manual,Third,5,7.88,1.85,19.7,796,35,maruti,omni
Coimbatore,2017,27872,Petrol,Manual,Second,5,7.88,5.95,20.4,1197,81.8,maruti,swift
Mumbai,2014,16514,Petrol,Manual,First,5,7.45,3.75,18.9,1197,82,hyundai,grand
Pune,2012,120000,Diesel,Manual,First,5,7.88,3.75,22.9,1248,74,maruti,swift
Hyderabad,2008,143275,Diesel,Manual,First,5,14.07,2.6,22,1582,126.2,hyundai,verna
Hyderabad,2006,99000,Petrol,Manual,First,5,4.55,1.75,,1086,,hyundai,santro
Mumbai,2010,52000,Petrol,Manual,First,5,10.25,2.8,17,1197,80,hyundai,i20
Coimbatore,2017,29819,Diesel,Automatic,First,5,95.13,61.29,11.57,2987,254.79,mercedes-benz,gle
Bangalore,2014,57000,Diesel,Manual,Second,5,49.49,18,15.8,2148,170,mercedes-benz,new
Hyderabad,2014,88500,Diesel,Manual,First,5,7.88,4.35,23.2,1248,73.94,maruti,ritz
Bangalore,2016,28000,Diesel,Manual,First,5,16.06,13.75,19.67,1582,126.2,hyundai,creta
Pune,2010,67000,Petrol,Manual,First,5,7.88,2,19,998,66.1,maruti,a-star
Delhi,2016,26000,Diesel,Manual,First,5,15.05,10,19.64,1461,108.45,renault,duster
Delhi,2010,120000,Diesel,Manual,First,5,9.075,1.65,17.8,1248,76,fiat,grande
Coimbatore,2017,51982,Diesel,Automatic,First,5,69.59,45.77,16.55,2993,258,bmw,x3
Bangalore,2010,36000,Petrol,Manual,Second,5,10.25,3.25,20.36,1197,78.9,hyundai,i10
Pune,2016,47000,Diesel,Manual,First,7,24.01,12.8,12.8,2494,102,toyota,innova
