Income,Age,Recency,Amount_Wines,Amount_Fruits,Amount_SweetProducts,Amount_Meat_Fish,Web_Purchases,Store_Purchases
55707.0,57,91,208,7,66,112,3,9
57959.0,55,71,430,16,24,365,4,11
56796.0,41,24,656,38,47,223,8,7
36230.0,39,17,14,2,2,38,2,4
70829.0,30,87,141,70,19,178,4,8
65991.0,34,21,507,19,47,389,9,10
38988.0,38,90,164,24,3,115,5,6
42207.0,26,71,116,11,17,75,4,5
50300.0,58,52,143,15,23,84,2,8
66664.0,28,78,398,96,96,667,5,6
70165.0,61,60,161,0,191,452,3,11
50520.0,52,25,112,0,1,8,3,3
33183.0,35,46,7,5,15,56,4,3
66582.0,41,83,789,25,38,436,2,9
75261.0,55,17,1239,17,34,436,5,5
31880.0,40,13,4,1,0,7,1,2
53790.0,59,86,335,42,5,155,7,8
49269.0,39,92,639,8,8,177,7,12
61456.0,35,47,563,76,192,468,6,13
37406.0,30,18,2,0,2,10,1,2
56937.0,29,81,746,8,8,136,8,9
38415.0,32,91,22,1,0,17,1,3
20518.0,22,58,4,1,1,10,1,2
62503.0,54,40,478,0,75,303,8,11
41644.0,38,67,20,3,0,6,1,3
55842.0,33,19,451,0,4,39,7,8
62010.0,38,93,371,22,0,45,6,7
41124.0,33,41,281,7,0,99,7,4
38961.0,37,60,19,7,1,19,2,2
37760.0,38,54,26,3,10,15,2,3
32233.0,36,26,138,15,11,60,6,2
43057.0,35,30,213,2,2,44,4,5
78825.0,46,35,483,74,37,283,5,13
60093.0,36,92,502,12,6,125,7,10
14045.0,41,24,11,0,1,7,1,3
28457.0,58,96,24,1,29,137,4,4
78952.0,52,11,1170,19,76,693,2,12
46310.0,34,99,185,2,5,103,6,5
76005.0,55,72,983,20,50,629,3,13
58308.0,46,77,691,0,0,79,2,3
55614.0,66,85,504,13,0,139,9,6
59432.0,48,88,317,25,19,290,5,11
55563.0,32,22,29,1,0,11,2,3
78642.0,39,83,1396,0,35,368,4,4
67911.0,61,63,529,0,28,419,6,11
65275.0,66,9,388,14,14,309,4,13
27203.0,60,92,13,2,0,25,1,2
64355.0,25,66,1047,0,38,207,4,12
53653.0,57,29,815,10,10,267,10,12
65665.0,34,77,225,162,36,493,5,8
61250.0,51,49,382,138,26,125,5,12
39665.0,29,97,127,1,1,56,4,3
60152.0,31,6,325,83,58,386,6,12
48920.0,46,93,238,17,10,76,6,5
44124.0,64,62,284,0,6,55,6,5
36443.0,49,9,65,0,3,50,3,3
71367.0,51,24,227,23,21,431,4,7
30630.0,45,67,27,1,0,14,2,3
73454.0,23,95,982,73,14,407,2,6
70503.0,57,73,1379,33,33,216,2,9
25545.0,23,35,32,1,12,80,2,3
32880.0,24,76,8,4,6,22,1,3
77863.0,52,20,881,38,25,335,4,10
50353.0,33,72,141,15,31,220,4,6
61839.0,46,20,1000,155,17,603,4,4
49154.0,50,69,206,10,27,97,4,8
47682.0,35,80,162,61,57,180,4,8
72679.0,41,65,619,54,54,387,4,5
57954.0,33,52,456,4,0,24,8,6
65316.0,48,65,112,6,9,95,3,5
28567.0,28,57,11,3,2,24,2,3
47352.0,59,70,172,12,0,120,6,5
76982.0,43,19,464,151,60,357,8,4
57247.0,58,50,99,4,54,69,2,7
22944.0,29,67,19,3,5,23,3,3
25315.0,33,46,1,9,3,19,3,3
43638.0,41,37,63,10,19,90,4,4
42710.0,26,38,252,3,3,46,4,3
54058.0,34,56,198,18,108,284,4,8
47850.0,30,72,42,7,12,63,3,4
19514.0,42,47,14,3,1,23,3,2
39548.0,47,87,15,4,4,13,1,3
60504.0,39,73,458,0,4,30,6,8
22419.0,47,74,30,3,21,66,3,2
43462.0,58,50,90,17,6,112,4,5
54880.0,32,57,308,85,45,239,6,11
79908.0,28,30,557,129,185,790,5,7
15315.0,40,27,7,4,8,28,2,4
71499.0,39,12,465,25,0,268,8,13
62466.0,40,13,129,129,121,427,6,12
48799.0,47,9,174,18,6,109,3,7
52157.0,60,48,189,2,2,32,3,5
66565.0,48,80,747,10,40,226,4,9
44989.0,36,26,98,0,10,155,5,5
38593.0,32,42,51,12,24,66,4,3
64413.0,40,27,200,5,10,44,5,5
36959.0,29,56,25,6,0,31,2,3
61996.0,33,27,1050,12,0,144,6,8
51287.0,42,10,117,0,0,35,4,3
13260.0,40,48,9,4,2,27,3,3
47472.0,44,39,56,0,0,11,2,4
54603.0,54,85,145,13,2,63,4,4
45207.0,36,64,203,0,0,10,3,6
47821.0,43,54,9,0,6,22,1,3
27450.0,59,57,37,12,11,31,2,3
39453.0,27,64,46,0,0,7,2,3
26850.0,39,10,31,1,2,20,2,4
79800.0,55,65,1060,21,0,562,5,5
61794.0,49,74,264,47,47,242,4,10
24221.0,51,94,8,9,5,11,1,3
39684.0,26,41,19,0,4,41,2,2
69882.0,45,94,292,127,127,767,3,9
33178.0,33,9,12,6,2,13,1,3
59973.0,38,47,130,30,34,188,3,7
17459.0,35,12,6,4,10,19,3,2
23910.0,41,80,16,12,1,25,2,3
42169.0,41,20,19,0,0,9,1,3
26224.0,32,39,4,7,9,28,2,3
31089.0,29,57,31,3,8,33,3,4
62807.0,50,83,526,28,21,145,5,12
72906.0,55,79,400,32,75,590,3,9
61467.0,62,69,410,16,5,114,5,10
49618.0,44,77,80,3,2,30,3,3
21888.0,24,15,88,10,3,48,5,2
26150.0,54,61,5,1,5,16,1,3
30801.0,35,23,8,4,2,20,1,3
26877.0,41,74,101,13,18,96,3,6
45006.0,66,90,162,25,0,69,3,7
48240.0,41,73,389,91,49,312,6,13
45837.0,36,88,215,13,17,104,6,5
54162.0,32,31,5,6,5,16,1,3
30522.0,50,6,179,8,11,102,1,9
54456.0,49,23,352,0,0,37,6,7
31632.0,39,92,17,8,15,23,2,2
72298.0,61,52,625,35,17,227,4,6
36975.0,32,50,10,6,4,11,1,3
72635.0,55,54,390,22,35,427,6,6
13624.0,34,93,10,2,1,17,2,3
70971.0,50,28,1001,17,125,665,11,5
34487.0,33,94,19,18,1,57,3,3
28769.0,33,76,41,5,3,139,4,4
69084.0,40,43,1181,107,30,238,7,13
65488.0,52,46,603,45,18,243,3,6
32218.0,50,27,10,24,1,28,2,3
56181.0,48,6,121,103,44,77,4,7
63120.0,60,53,965,69,41,333,8,9
73691.0,39,58,707,21,43,335,6,8
76140.0,62,57,586,66,0,670,5,6
62859.0,51,37,1063,89,12,118,9,6
45906.0,46,20,305,3,3,31,5,4
77632.0,63,73,1200,105,42,758,4,6
46463.0,39,56,163,2,11,48,3,6
55282.0,40,9,125,6,4,81,3,6
78710.0,33,42,721,0,50,271,7,12
66886.0,52,28,315,4,31,103,7,7
29103.0,25,38,16,0,3,23,1,3
67445.0,36,63,757,80,80,246,9,12
50616.0,60,71,30,2,1,25,1,4
49431.0,55,9,219,3,0,126,7,5
61278.0,57,87,111,3,6,30,3,4
73059.0,63,36,410,112,82,420,9,13
46734.0,44,86,100,1,1,45,3,3
56253.0,47,83,509,0,11,72,7,9
58330.0,35,87,445,53,98,317,6,13
25965.0,30,29,2,2,7,52,2,3
14661.0,54,88,4,1,2,17,1,3
18690.0,51,77,6,1,4,30,1,2
21063.0,23,34,1,10,3,30,2,3
29187.0,42,43,26,0,0,6,1,3
54690.0,39,76,111,16,9,44,3,5
59304.0,46,81,418,61,51,508,7,10
59247.0,48,87,327,9,14,141,5,9
66731.0,40,33,371,159,106,252,4,6
77353.0,30,38,275,59,101,176,6,8
70337.0,31,75,187,81,43,174,2,12
36145.0,25,13,56,4,1,93,4,3
65295.0,30,19,365,32,110,151,3,13
68118.0,47,51,595,23,23,133,8,4
68743.0,43,81,1132,134,134,559,11,13
41039.0,28,32,34,11,61,316,8,5
38946.0,55,84,116,6,6,88,3,6
65777.0,43,87,565,32,32,463,2,6
66476.0,34,99,372,18,48,173,5,11
77845.0,21,40,760,40,40,480,3,12
50611.0,50,98,459,0,0,30,4,7
61209.0,40,73,466,0,49,343,5,4
42315.0,52,90,67,15,11,97,1,4
13084.0,58,29,2,0,7,10,1,3
61923.0,49,94,92,4,3,21,2,4
26518.0,61,33,20,1,3,31,2,3
45938.0,49,46,273,11,83,240,8,6
78468.0,50,29,434,22,22,492,10,10
78901.0,37,99,321,11,26,342,9,5
71427.0,32,26,212,123,64,192,8,8
71022.0,32,30,909,12,12,278,5,11
41335.0,42,24,112,19,14,37,4,4
35682.0,40,34,23,0,2,14,1,3
43185.0,59,88,537,6,6,58,9,6
66375.0,62,96,712,0,0,45,2,5
25252.0,24,26,1,3,2,6,1,2
55250.0,45,49,664,58,0,115,7,10
33249.0,35,11,6,10,14,40,2,3
58398.0,57,44,299,5,21,222,5,8
50272.0,28,75,99,13,8,109,4,5
76618.0,35,64,749,40,160,415,3,5
25851.0,32,45,9,4,5,25,2,3
58710.0,40,77,440,81,122,368,11,9
45160.0,52,9,8,2,0,8,1,2
59111.0,56,90,524,0,28,162,11,8
18988.0,26,43,6,0,1,8,1,3
72190.0,45,79,597,166,166,769,5,4
7500.0,34,19,7,0,7,25,4,2
75012.0,34,41,294,142,58,382,3,11
56962.0,45,60,292,3,3,87,6,5
53593.0,57,60,349,4,0,84,7,6
45072.0,62,74,144,2,2,106,6,4
72025.0,61,46,967,0,50,660,4,13
67432.0,37,69,432,79,136,518,8,4
70545.0,58,29,138,39,18,118,4,7
17487.0,21,37,0,0,4,8,1,2
62882.0,41,26,509,133,24,575,7,6
64108.0,57,8,948,10,21,99,6,11
34941.0,54,26,39,2,3,29,3,3
48767.0,60,79,28,1,0,24,2,3
38702.0,32,71,13,11,8,37,3,4
17003.0,35,37,2,5,8,16,2,4
33697.0,40,34,4,3,3,7,1,2
51518.0,52,92,350,8,4,83,3,10
75507.0,31,56,709,93,80,478,8,6
63855.0,32,28,359,35,116,407,7,13
62220.0,38,55,799,12,12,391,7,5
58512.0,46,25,895,10,0,114,3,8
38829.0,51,86,76,0,0,7,3,2
35523.0,29,8,11,5,5,34,3,3
79146.0,43,33,245,16,43,244,8,8
78285.0,22,13,647,107,67,566,6,10
31626.0,32,12,39,1,1,11,2,2
75127.0,58,92,203,35,17,351,2,5
48726.0,55,90,138,3,0,42,3,4
74985.0,33,8,587,51,0,1145,3,7
67430.0,23,6,595,97,133,418,11,12
46891.0,45,91,43,12,15,52,2,4
62058.0,54,52,301,7,0,84,6,7
78939.0,59,57,794,115,0,393,8,6
42720.0,45,9,392,5,26,119,7,7
33622.0,38,22,39,1,4,25,2,4
6835.0,53,76,107,2,2,14,0,1
40760.0,45,64,70,0,0,17,2,3
74250.0,52,90,680,11,0,467,2,4
51124.0,55,79,26,1,1,11,1,3
72258.0,39,28,522,0,120,749,6,5
71466.0,36,86,412,12,182,624,4,10
36283.0,34,42,6,5,0,13,1,3
20587.0,40,39,2,3,1,10,1,2
30467.0,38,8,1,3,5,10,1,2
31590.0,38,40,6,2,6,21,1,3
17144.0,50,96,18,2,2,19,3,4
42564.0,42,28,324,48,18,225,6,4
43783.0,32,22,327,9,4,150,7,8
40780.0,34,30,229,27,3,84,7,5
62847.0,65,45,521,168,76,786,3,4
16813.0,60,49,4,8,2,23,2,3
51267.0,32,37,183,2,2,71,3,5
46524.0,49,70,31,19,14,61,1,5
45183.0,48,33,219,3,9,72,4,7
70421.0,56,98,479,28,14,211,10,7
60161.0,45,17,584,44,8,258,11,8
73926.0,37,54,627,91,91,756,6,12
19329.0,42,39,24,1,2,28,4,3
61872.0,40,81,330,5,27,195,4,9
46984.0,54,71,19,1,1,12,1,3
34838.0,59,62,28,23,14,58,2,4
48192.0,52,76,1039,43,58,357,2,12
49681.0,34,66,411,0,0,26,7,7
56850.0,39,83,34,1,7,21,1,3
55267.0,53,28,161,28,3,168,3,6
59666.0,38,87,623,53,17,201,3,8
72504.0,38,43,604,26,161,593,5,6
52750.0,55,72,393,0,69,329,5,9
65968.0,40,12,376,9,4,102,5,7
30772.0,34,89,7,2,1,6,1,2
22507.0,56,67,68,0,157,277,10,4
65685.0,38,54,642,14,7,49,9,9
25804.0,32,34,8,7,6,22,2,3
76412.0,30,15,840,53,71,827,5,8
22063.0,38,43,7,10,11,16,2,3
78353.0,51,51,752,122,153,515,10,11
37859.0,48,75,22,1,1,10,1,3
16529.0,26,23,3,0,0,18,1,3
55412.0,34,65,10,5,1,39,2,3
56575.0,43,42,421,5,16,90,7,7
25130.0,30,10,2,5,18,7,2,3
35441.0,43,94,25,1,1,11,1,3
71391.0,54,50,336,123,123,320,6,12
49494.0,38,46,191,9,6,97,6,5
45889.0,30,42,31,0,1,6,1,3
56628.0,33,30,479,5,17,89,7,5
34026.0,60,11,18,6,8,27,2,3
40049.0,36,61,91,65,44,62,3,6
19419.0,29,76,2,14,3,44,4,3
55284.0,54,60,547,7,7,140,7,8
49980.0,47,79,104,1,9,67,3,5
15072.0,30,96,8,2,10,15,3,3
49166.0,36,17,224,2,0,32,5,3
60474.0,31,25,265,199,9,537,10,12
55357.0,25,66,374,64,25,200,6,11
37758.0,44,49,27,2,0,10,1,3
23228.0,41,71,13,2,1,24,2,3
44602.0,41,35,167,2,0,89,6,4
7500.0,23,94,0,2,1,7,0,3
38683.0,21,80,46,35,41,153,4,6
49514.0,35,61,88,39,13,136,6,4
57906.0,37,29,243,11,3,129,4,8
