Suburb,Rooms,Type,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,Regionname,Propertycount,Price,Total_Space_New
Balwyn,2,h,Marshall,2016-03-09,9.7,3103.0,2,1,1,659.0,Southern Metropolitan,5682,2100000,6
Balwyn,4,h,Marshall,2016-03-09,9.7,3103.0,4,2,2,715.0,Southern Metropolitan,5682,1800000,12
Balwyn,2,t,Noel,2016-03-09,9.7,3103.0,2,1,1,208.0,Southern Metropolitan,5682,1255000,6
Balwyn North,3,t,hockingstuart,2016-03-09,9.2,3104.0,3,2,2,260.0,Southern Metropolitan,7809,1315000,10
Balwyn North,3,h,Jellis,2016-03-09,9.2,3104.0,3,2,1,778.0,Southern Metropolitan,7809,1500000,9
Balwyn North,4,h,Jellis,2016-03-09,9.2,3104.0,4,4,3,1135.0,Southern Metropolitan,7809,3230000,15
Balwyn North,2,h,Jellis,2016-03-09,9.2,3104.0,2,1,1,253.0,Southern Metropolitan,7809,1080000,6
Balwyn North,4,u,hockingstuart,2016-03-09,9.2,3104.0,1,1,1,50.0,Southern Metropolitan,7809,1450000,7
Balwyn North,2,h,Fletchers,2016-03-09,9.2,3104.0,3,1,1,593.0,Southern Metropolitan,7809,1305000,7
Bentleigh,2,u,hockingstuart,2016-03-09,13.0,3204.0,2,1,2,202.0,Southern Metropolitan,6795,636000,7
Bentleigh,2,h,Woodards,2016-03-09,13.0,3204.0,2,1,2,599.0,Southern Metropolitan,6795,1275000,7
Bentleigh,3,u,hockingstuart,2016-03-09,13.0,3204.0,3,1,2,348.0,Southern Metropolitan,6795,875000,9
Bentleigh,4,t,hockingstuart,2016-03-09,13.0,3204.0,3,2,1,267.0,Southern Metropolitan,6795,1230000,10
Bentleigh,3,t,Ray,2016-03-09,13.0,3204.0,3,2,2,362.0,Southern Metropolitan,6795,895000,10
Bentleigh,3,t,C21,2016-03-09,13.0,3204.0,3,2,1,267.0,Southern Metropolitan,6795,1020000,9
Bentleigh East,2,h,hockingstuart,2016-03-09,13.9,3165.0,2,1,2,768.0,Southern Metropolitan,10969,1410000,7
Bentleigh East,3,t,Buxton,2016-03-09,13.9,3165.0,3,2,1,267.0,Southern Metropolitan,10969,990000,9
Bentleigh East,3,h,Buxton,2016-03-09,13.9,3165.0,3,1,1,593.0,Southern Metropolitan,10969,1057000,8
Bentleigh East,3,t,hockingstuart,2016-03-09,13.9,3165.0,3,1,2,287.0,Southern Metropolitan,10969,760000,9
Bentleigh East,2,h,Buxton,2016-03-09,13.9,3165.0,2,2,1,176.0,Southern Metropolitan,10969,825000,7
Box Hill,4,h,hockingstuart,2016-03-09,13.1,3128.0,4,2,2,697.0,Eastern Metropolitan,4605,1620000,12
Braybrook,3,h,Barry,2016-03-09,10.8,3019.0,3,2,4,700.0,Western Metropolitan,3589,870000,12
Braybrook,2,h,Barry,2016-03-09,10.8,3019.0,2,1,1,566.0,Western Metropolitan,3589,645000,6
Brighton,3,h,Buxton,2016-03-09,11.2,3186.0,3,2,2,663.0,Southern Metropolitan,10579,1550000,10
Brighton,3,h,Buxton,2016-03-09,11.2,3186.0,3,1,2,366.0,Southern Metropolitan,10579,1635000,9
Brighton East,4,h,hockingstuart,2016-03-09,10.7,3187.0,4,2,2,682.0,Southern Metropolitan,6938,1940000,12
Brighton East,4,h,Nick,2016-03-09,10.7,3187.0,4,2,2,617.0,Southern Metropolitan,6938,1850000,12
Brighton East,2,h,Nick,2016-03-09,10.7,3187.0,3,1,1,593.0,Southern Metropolitan,6938,1060000,7
Brighton East,3,h,Marshall,2016-03-09,10.7,3187.0,3,1,1,329.0,Southern Metropolitan,6938,930000,8
Brighton East,5,h,Gary,2016-03-09,10.7,3187.0,3,1,1,593.0,Southern Metropolitan,6938,1952000,10
Brunswick,2,u,Brad,2016-03-09,5.2,3056.0,2,1,2,50.0,Northern Metropolitan,11918,428000,7
Brunswick,2,h,Nelson,2016-03-09,5.2,3056.0,2,1,0,225.0,Northern Metropolitan,11918,1026000,5
Brunswick West,2,u,Peter,2016-03-09,5.9,3055.0,2,1,1,50.0,Northern Metropolitan,7082,521500,6
Bulleen,3,u,Jellis,2016-03-09,11.8,3105.0,3,1,2,385.0,Eastern Metropolitan,4480,851000,9
Bulleen,4,h,Jellis,2016-03-09,11.8,3105.0,4,1,2,717.0,Eastern Metropolitan,4480,1300000,11
Bulleen,4,h,Barry,2016-03-09,11.8,3105.0,3,2,2,562.0,Eastern Metropolitan,4480,1110000,11
Bulleen,4,h,Jellis,2016-03-09,11.8,3105.0,4,2,2,556.0,Eastern Metropolitan,4480,1235000,12
Burwood,5,h,Jellis,2016-03-09,11.7,3125.0,4,3,2,661.0,Southern Metropolitan,5678,1590000,14
Camberwell,4,h,Jellis,2016-03-09,7.8,3124.0,4,2,1,652.0,Southern Metropolitan,8920,2650000,11
Camberwell,3,t,Marshall,2016-03-09,7.8,3124.0,3,1,2,389.0,Southern Metropolitan,8920,1615000,9
Camberwell,4,h,RT,2016-03-09,7.8,3124.0,4,3,2,934.0,Southern Metropolitan,8920,3225000,13
Canterbury,4,h,Marshall,2016-03-09,9.0,3126.0,4,2,2,687.0,Southern Metropolitan,3265,2950000,12
Carlton North,3,h,Nelson,2016-03-09,3.2,3054.0,3,1,1,314.0,Northern Metropolitan,3106,1330000,8
Carnegie,3,u,Ray,2016-03-09,11.4,3163.0,3,1,2,50.0,Southern Metropolitan,7822,820000,9
Carnegie,2,t,Gary,2016-03-09,11.4,3163.0,2,2,1,133.0,Southern Metropolitan,7822,795000,7
Caulfield,2,u,Gary,2016-03-09,8.9,3162.0,2,1,1,50.0,Southern Metropolitan,2379,722500,6
Caulfield North,3,h,McGrath,2016-03-09,8.1,3161.0,3,1,0,513.0,Southern Metropolitan,6923,1365000,7
Caulfield North,3,h,Marshall,2016-03-09,8.1,3161.0,3,2,2,692.0,Southern Metropolitan,6923,1750000,10
Caulfield South,3,h,hockingstuart,2016-03-09,9.3,3162.0,3,2,2,357.0,Southern Metropolitan,5051,1577500,10
Caulfield South,4,h,Gary,2016-03-09,9.3,3162.0,3,1,1,593.0,Southern Metropolitan,5051,1802000,9
Chadstone,3,t,Buxton,2016-03-09,13.6,3148.0,3,2,1,182.0,Southern Metropolitan,3582,752000,9
Chadstone,2,u,Buxton,2016-03-09,13.6,3148.0,1,1,1,50.0,Southern Metropolitan,3582,670000,5
Clifton Hill,3,h,Nelson,2016-03-09,3.4,3068.0,3,2,0,187.0,Northern Metropolitan,2954,1270000,8
Coburg,2,h,Brad,2016-03-09,7.8,3058.0,2,1,1,371.0,Northern Metropolitan,11204,850000,6
Coburg,3,h,Nelson,2016-03-09,7.8,3058.0,2,1,1,286.0,Northern Metropolitan,11204,784000,7
Coburg North,3,h,Nelson,2016-03-09,9.2,3058.0,3,1,1,482.0,Northern Metropolitan,3445,845000,8
Collingwood,2,t,Jellis,2016-03-09,1.6,3066.0,2,1,1,115.0,Northern Metropolitan,4553,750000,6
Collingwood,2,h,LITTLE,2016-03-09,1.6,3066.0,2,1,1,178.0,Northern Metropolitan,4553,890000,6
Collingwood,2,u,Jellis,2016-03-09,1.6,3066.0,2,1,1,50.0,Northern Metropolitan,4553,1260000,6
Collingwood,2,u,Nelson,2016-03-09,1.6,3066.0,2,1,1,2886.0,Northern Metropolitan,4553,855000,6
Doncaster,4,h,Barry,2016-03-09,13.9,3108.0,4,4,2,1157.0,Eastern Metropolitan,9028,1924500,14
Doncaster,4,h,Barry,2016-03-09,13.9,3108.0,3,1,1,693.5,Eastern Metropolitan,9028,1416000,9
Doncaster,2,u,Barry,2016-03-09,13.9,3108.0,2,1,1,65.0,Eastern Metropolitan,9028,492500,6
Elsternwick,2,h,Gary,2016-03-09,8.5,3185.0,2,1,2,239.0,Southern Metropolitan,4898,900000,7
Elwood,1,u,Chisholm,2016-03-09,7.7,3184.0,1,1,1,50.0,Southern Metropolitan,8989,520000,4
Elwood,3,t,hockingstuart,2016-03-09,7.7,3184.0,3,2,2,1170.0,Southern Metropolitan,8989,1350000,10
Essendon,3,h,Jellis,2016-03-09,8.0,3040.0,3,2,2,684.0,Western Metropolitan,9264,1425000,10
Essendon,2,u,Barry,2016-03-09,8.0,3040.0,2,1,1,263.0,Western Metropolitan,9264,660000,6
Essendon,2,u,Nelson,2016-03-09,8.0,3040.0,2,1,1,50.0,Western Metropolitan,9264,550000,6
Essendon North,2,u,Barry,2016-03-09,9.4,3041.0,2,1,1,50.0,Western Metropolitan,1308,396000,6
Fairfield,3,h,Jellis,2016-03-09,5.8,3078.0,3,2,0,327.0,Northern Metropolitan,2970,1250000,8
Fitzroy,2,h,Nelson,2016-03-09,1.6,3065.0,2,1,0,128.0,Northern Metropolitan,5825,1000000,5
Fitzroy,3,h,Nelson,2016-03-09,1.6,3065.0,3,2,2,50.0,Northern Metropolitan,5825,1252000,10
Fitzroy North,2,u,Woodards,2016-03-09,3.5,3068.0,2,2,1,4332.0,Northern Metropolitan,6244,700000,7
Fitzroy North,2,h,Woodards,2016-03-09,3.5,3068.0,2,1,0,104.0,Northern Metropolitan,6244,860000,5
Fitzroy North,2,h,Nelson,2016-03-09,3.5,3068.0,2,1,0,107.0,Northern Metropolitan,6244,870000,5
Fitzroy North,2,h,Nelson,2016-03-09,3.5,3068.0,3,1,0,152.0,Northern Metropolitan,6244,1116000,6
Fitzroy North,4,h,Nelson,2016-03-09,3.5,3068.0,4,2,1,266.0,Northern Metropolitan,6244,1450000,11
Fitzroy North,2,t,Nelson,2016-03-09,3.5,3068.0,2,3,0,2778.0,Northern Metropolitan,6244,930000,7
Flemington,2,h,Nelson,2016-03-09,4.4,3031.0,2,1,1,168.0,Northern Metropolitan,3593,865500,6
Footscray,3,t,Nelson,2016-03-09,6.4,3011.0,3,1,1,259.0,Western Metropolitan,7570,585000,8
Footscray,1,u,Burnham,2016-03-09,6.4,3011.0,1,1,0,50.0,Western Metropolitan,7570,85000,3
Glen Iris,3,h,hockingstuart,2016-03-09,9.2,3146.0,3,2,3,680.0,Southern Metropolitan,10412,1735000,11
Glen Iris,2,u,Noel,2016-03-09,9.2,3146.0,1,1,1,50.0,Southern Metropolitan,10412,490000,5
Glen Iris,2,h,Jellis,2016-03-09,9.2,3146.0,3,1,2,653.0,Southern Metropolitan,10412,1699000,8
Glen Iris,4,h,Kay,2016-03-09,9.2,3146.0,4,3,2,856.0,Southern Metropolitan,10412,3400000,13
Glen Iris,5,h,Abercromby's,2016-03-09,9.2,3146.0,4,3,2,919.0,Southern Metropolitan,10412,3730000,14
Glenroy,3,t,Stockdale,2016-03-09,13.0,3046.0,2,1,1,145.0,Northern Metropolitan,8870,585000,7
Glenroy,3,h,Ray,2016-03-09,13.0,3046.0,3,1,2,696.0,Northern Metropolitan,8870,610000,9
Glenroy,3,t,Brad,2016-03-09,13.0,3046.0,2,1,1,145.0,Northern Metropolitan,8870,480000,7
Glenroy,3,h,Barry,2016-03-09,13.0,3046.0,3,1,1,482.0,Northern Metropolitan,8870,681500,8
Glenroy,3,h,Nelson,2016-03-09,13.0,3046.0,3,1,1,482.0,Northern Metropolitan,8870,640000,8
Glenroy,3,h,Eview,2016-03-09,13.0,3046.0,3,1,1,482.0,Northern Metropolitan,8870,712000,8
Gowanbrae,3,h,Nelson,2016-03-09,13.6,3043.0,3,2,2,608.0,Western Metropolitan,1071,631000,10
Gowanbrae,3,t,Nelson,2016-03-09,13.6,3043.0,3,2,1,149.0,Western Metropolitan,1071,532000,9
Hadfield,3,h,hockingstuart,2016-03-09,12.1,3046.0,3,1,2,597.0,Northern Metropolitan,2606,605000,9
Hadfield,3,h,Stockdale,2016-03-09,12.1,3046.0,3,1,1,482.0,Northern Metropolitan,2606,570000,8
Hadfield,3,h,Brad,2016-03-09,12.1,3046.0,3,1,2,724.0,Northern Metropolitan,2606,685500,9
Hampton,2,u,hockingstuart,2016-03-09,13.7,3188.0,2,1,1,228.0,Southern Metropolitan,5454,895000,6
Hampton,2,u,Ray,2016-03-09,13.7,3188.0,2,1,1,50.0,Southern Metropolitan,5454,587000,6
Hampton,4,h,Nick,2016-03-09,13.7,3188.0,3,3,2,701.0,Southern Metropolitan,5454,2800000,12
Hampton,2,u,Buxton,2016-03-09,13.7,3188.0,2,1,1,832.0,Southern Metropolitan,5454,720000,6
Hampton,4,h,hockingstuart,2016-03-09,13.7,3188.0,4,3,2,928.0,Southern Metropolitan,5454,3250000,13
Hampton East,4,h,Marshall,2016-03-09,14.5,3188.0,3,1,1,593.0,Southern Metropolitan,2356,1525000,9
Hawthorn,4,h,Jellis,2016-03-09,4.6,3122.0,4,2,2,317.0,Southern Metropolitan,11308,1650000,12
Heidelberg Heights,2,h,Fletchers,2016-03-09,10.5,3081.0,2,1,2,589.0,Eastern Metropolitan,2947,815000,7
Heidelberg West,5,h,Nelson,2016-03-09,9.4,3081.0,3,2,2,415.0,Eastern Metropolitan,2674,765000,12
Heidelberg West,3,h,Haughton,2016-03-09,9.4,3081.0,2,1,2,624.0,Eastern Metropolitan,2674,691000,8
Hughesdale,2,h,Woodards,2016-03-09,13.0,3166.0,2,1,1,732.0,Southern Metropolitan,3145,1550000,6
Hughesdale,2,u,Ray,2016-03-09,13.0,3166.0,2,1,1,50.0,Southern Metropolitan,3145,516000,6
Ivanhoe,2,u,Miles,2016-03-09,7.9,3079.0,2,1,1,50.0,Eastern Metropolitan,5549,480000,6
Keilor East,3,h,Nelson,2016-03-09,12.8,3033.0,3,2,2,683.0,Western Metropolitan,5629,703000,10
Keilor East,3,h,Nelson,2016-03-09,12.8,3033.0,3,1,1,537.0,Western Metropolitan,5629,680000,8
Keilor East,3,h,Barry,2016-03-09,12.8,3033.0,3,1,1,538.0,Western Metropolitan,5629,650000,8
Kensington,3,h,Nelson,2016-03-09,4.2,3031.0,2,1,1,258.0,Northern Metropolitan,5263,785000,7
Kensington,3,h,Nelson,2016-03-09,4.2,3031.0,3,1,1,166.0,Northern Metropolitan,5263,852000,8
Kensington,3,h,Rendina,2016-03-09,4.2,3031.0,3,1,1,188.0,Northern Metropolitan,5263,1037000,8
Kew,3,h,Jellis,2016-03-09,5.6,3101.0,3,1,2,396.0,Southern Metropolitan,10331,1635000,9
Kew,2,h,Jellis,2016-03-09,5.6,3101.0,2,2,1,697.0,Southern Metropolitan,10331,4800000,7
Kew,3,u,Jellis,2016-03-09,5.6,3101.0,1,1,1,50.0,Southern Metropolitan,10331,970000,6
Kew,5,h,Jellis,2016-03-09,5.6,3101.0,3,1,1,593.0,Southern Metropolitan,10331,6240000,10
Kew East,4,h,Marshall,2016-03-09,7.5,3102.0,3,1,1,593.0,Southern Metropolitan,2671,2040000,9
Kew East,4,h,Marshall,2016-03-09,7.5,3102.0,3,2,2,712.0,Southern Metropolitan,2671,2490000,11
Kew East,2,u,Nelson,2016-03-09,7.5,3102.0,2,1,1,50.0,Southern Metropolitan,2671,620000,6
Maidstone,3,h,Sweeney,2016-03-09,9.2,3012.0,3,1,3,564.0,Western Metropolitan,3873,670000,10
Maidstone,3,t,Jas,2016-03-09,9.2,3012.0,3,2,2,165.0,Western Metropolitan,3873,615000,10
Maidstone,3,h,Burnham,2016-03-09,9.2,3012.0,3,1,1,576.0,Western Metropolitan,3873,715000,8
Maidstone,4,h,Rendina,2016-03-09,9.2,3012.0,4,2,2,308.0,Western Metropolitan,3873,826000,12
Malvern,3,h,Jellis,2016-03-09,7.4,3144.0,3,1,1,593.0,Southern Metropolitan,4675,2500000,8
Malvern,4,h,Jellis,2016-03-09,7.4,3144.0,3,1,1,593.0,Southern Metropolitan,4675,3850000,9
Malvern East,3,h,Marshall,2016-03-09,11.2,3145.0,3,1,1,322.0,Southern Metropolitan,8801,1490000,8
Malvern East,3,h,Marshall,2016-03-09,11.2,3145.0,3,2,1,337.0,Southern Metropolitan,8801,1210000,9
Malvern East,4,h,J,2016-03-09,11.2,3145.0,3,2,2,644.0,Southern Metropolitan,8801,1300000,11
Malvern East,4,h,Thomson,2016-03-09,11.2,3145.0,3,2,4,727.0,Southern Metropolitan,8801,1675000,13
Melbourne,1,u,RT,2016-03-09,2.8,3000.0,1,1,1,50.0,Northern Metropolitan,17496,400000,4
Middle Park,3,h,Cayzer,2016-03-09,4.1,3206.0,3,1,1,279.0,Southern Metropolitan,2019,2600000,8
Mont Albert,2,h,Lindellas,2016-03-09,11.8,3127.0,2,1,1,613.0,Eastern Metropolitan,2079,1320000,6
Mont Albert,4,h,Jellis,2016-03-09,11.8,3127.0,4,2,2,1388.0,Eastern Metropolitan,2079,2850000,12
Moonee Ponds,3,u,Nelson,2016-03-09,6.9,3039.0,3,2,2,50.0,Western Metropolitan,6232,670000,10
Moorabbin,3,h,Buxton,2016-03-09,14.6,3189.0,3,1,3,834.0,Southern Metropolitan,2555,1224000,10
Moorabbin,3,h,Buxton,2016-03-09,14.6,3189.0,3,1,3,771.0,Southern Metropolitan,2555,1020000,10
Moorabbin,3,h,O'Brien,2016-03-09,14.6,3189.0,3,2,2,573.0,Southern Metropolitan,2555,1000000,10
Moorabbin,1,u,Ray,2016-03-09,14.6,3189.0,1,1,1,106.0,Southern Metropolitan,2555,380500,4
Newport,3,h,Sweeney,2016-03-09,8.4,3015.0,3,2,2,301.0,Western Metropolitan,5498,1025000,10
Newport,3,h,Village,2016-03-09,8.4,3015.0,2,1,2,281.0,Western Metropolitan,5498,826000,8
Niddrie,3,t,Barry,2016-03-09,11.2,3042.0,3,3,2,303.0,Western Metropolitan,2291,830000,11
Niddrie,4,t,Barry,2016-03-09,11.2,3042.0,2,1,1,200.0,Western Metropolitan,2291,1065000,8
Niddrie,3,h,McDonald,2016-03-09,11.2,3042.0,3,2,2,274.0,Western Metropolitan,2291,780000,10
Niddrie,3,h,Brad,2016-03-09,11.2,3042.0,3,1,1,537.0,Western Metropolitan,2291,950000,8
North Melbourne,4,h,Nelson,2016-03-09,2.3,3051.0,4,3,4,310.0,Northern Metropolitan,6821,2920000,15
North Melbourne,3,h,Nelson,2016-03-09,2.3,3051.0,2,1,0,517.0,Northern Metropolitan,6821,1635000,6
North Melbourne,1,u,Nelson,2016-03-09,2.3,3051.0,1,1,1,50.0,Northern Metropolitan,6821,491000,4
Northcote,2,h,McGrath,2016-03-09,5.5,3070.0,2,1,1,245.0,Northern Metropolitan,11364,1286000,6
Northcote,3,h,Nelson,2016-03-09,5.5,3070.0,3,1,1,215.0,Northern Metropolitan,11364,1200000,8
Northcote,3,h,Nelson,2016-03-09,5.5,3070.0,3,2,2,286.0,Northern Metropolitan,11364,1382500,10
Northcote,2,u,McGrath,2016-03-09,5.5,3070.0,2,2,1,50.0,Northern Metropolitan,11364,630000,7
Northcote,4,h,Jellis,2016-03-09,5.5,3070.0,4,2,1,464.0,Northern Metropolitan,11364,1600000,11
Oak Park,4,t,Brad,2016-03-09,11.5,3046.0,2,1,1,145.0,Northern Metropolitan,2651,670000,8
Oak Park,3,h,Nelson,2016-03-09,11.5,3046.0,3,1,3,757.0,Northern Metropolitan,2651,892000,10
Oak Park,2,h,Barry,2016-03-09,11.5,3046.0,2,1,2,577.0,Northern Metropolitan,2651,592000,7
Oakleigh South,4,h,Woodards,2016-03-09,14.7,3167.0,3,1,2,632.0,South-Eastern Metropolitan,3692,991000,10
Oakleigh South,2,h,Buxton,2016-03-09,14.7,3167.0,3,1,2,632.0,South-Eastern Metropolitan,3692,1242000,8
Oakleigh South,2,t,Buxton,2016-03-09,14.7,3167.0,2,1,1,248.0,South-Eastern Metropolitan,3692,665000,6
Oakleigh South,3,t,Fletchers,2016-03-09,14.7,3167.0,3,2,1,189.0,South-Eastern Metropolitan,3692,680000,9
Parkville,4,h,Nelson,2016-03-09,2.6,3052.0,4,2,2,357.0,Northern Metropolitan,2309,1230000,12
Pascoe Vale,3,h,Brad,2016-03-09,9.9,3044.0,2,1,2,100.0,Northern Metropolitan,7485,1120000,8
Pascoe Vale,3,h,Nelson,2016-03-09,9.9,3044.0,3,1,4,560.0,Northern Metropolitan,7485,770000,11
Port Melbourne,2,u,Biggin,2016-03-09,3.8,3207.0,2,2,1,50.0,Southern Metropolitan,8648,1100000,7
Port Melbourne,2,u,Greg,2016-03-09,3.8,3207.0,1,1,1,50.0,Southern Metropolitan,8648,650000,5
Port Melbourne,3,h,Marshall,2016-03-09,3.8,3207.0,3,1,1,593.0,Southern Metropolitan,8648,1681000,8
Prahran,2,u,Hodges,2016-03-09,4.5,3181.0,2,1,1,50.0,Southern Metropolitan,7717,650000,6
Prahran,1,u,hockingstuart,2016-03-09,4.5,3181.0,1,1,1,50.0,Southern Metropolitan,7717,342000,4
Prahran,4,h,Marshall,2016-03-09,4.5,3181.0,3,1,1,593.0,Southern Metropolitan,7717,2680000,9
Prahran,2,h,hockingstuart,2016-03-09,4.5,3181.0,2,1,1,88.0,Southern Metropolitan,7717,950000,6
Prahran,2,u,Wilson,2016-03-09,4.5,3181.0,2,1,1,50.0,Southern Metropolitan,7717,781000,6
Preston,3,h,Harcourts,2016-03-09,8.8,3072.0,3,1,2,644.0,Northern Metropolitan,14577,1250000,9
Preston,3,h,Ray,2016-03-09,8.8,3072.0,3,1,2,584.0,Northern Metropolitan,14577,855000,9
Preston,4,h,Ray,2016-03-09,8.8,3072.0,4,2,2,604.0,Northern Metropolitan,14577,930000,12
Preston,4,h,Nelson,2016-03-09,8.8,3072.0,4,2,1,530.0,Northern Metropolitan,14577,900000,11
Preston,3,h,Barry,2016-03-09,8.8,3072.0,3,1,1,482.0,Northern Metropolitan,14577,1030000,8
Preston,4,h,Nelson,2016-03-09,8.8,3072.0,3,0,0,650.0,Northern Metropolitan,14577,1004000,7
Preston,2,u,hockingstuart,2016-03-09,8.8,3072.0,1,1,1,50.0,Northern Metropolitan,14577,540000,5
Preston,3,h,Barry,2016-03-09,8.8,3072.0,3,1,2,518.0,Northern Metropolitan,14577,930000,9
Reservoir,3,u,Barry,2016-03-09,11.2,3073.0,1,1,1,50.0,Northern Metropolitan,21650,666000,6
Reservoir,3,u,Ray,2016-03-09,11.2,3073.0,3,1,1,191.0,Northern Metropolitan,21650,475000,8
Reservoir,3,h,Nelson,2016-03-09,11.2,3073.0,3,1,1,482.0,Northern Metropolitan,21650,738000,8
Reservoir,2,t,Barry,2016-03-09,11.2,3073.0,2,1,1,145.0,Northern Metropolitan,21650,355000,6
Reservoir,3,h,Stockdale,2016-03-09,11.2,3073.0,3,1,1,482.0,Northern Metropolitan,21650,590000,8
Reservoir,2,u,Ray,2016-03-09,11.2,3073.0,2,1,1,189.0,Northern Metropolitan,21650,415000,6
Reservoir,2,h,Nelson,2016-03-09,11.2,3073.0,3,1,1,482.0,Northern Metropolitan,21650,428000,7
Richmond,2,h,Biggin,2016-03-09,2.6,3121.0,2,1,1,125.0,Northern Metropolitan,14949,937000,6
Richmond,3,h,Biggin,2016-03-09,2.6,3121.0,2,1,0,203.0,Northern Metropolitan,14949,1260000,6
Richmond,3,h,Biggin,2016-03-09,2.6,3121.0,3,1,1,482.0,Northern Metropolitan,14949,1820000,8
Richmond,3,t,Jellis,2016-03-09,2.6,3121.0,3,2,1,675.0,Northern Metropolitan,14949,1236000,9
Richmond,2,u,LITTLE,2016-03-09,2.6,3121.0,2,2,1,656.0,Northern Metropolitan,14949,540000,7
Richmond,2,u,hockingstuart,2016-03-09,2.6,3121.0,2,1,2,50.0,Northern Metropolitan,14949,795250,7
Richmond,2,u,Biggin,2016-03-09,2.6,3121.0,2,1,1,50.0,Northern Metropolitan,14949,582000,6
Richmond,1,u,Domain,2016-03-09,2.6,3121.0,1,1,1,50.0,Northern Metropolitan,14949,500000,4
Rosanna,5,h,Nelson,2016-03-09,11.4,3084.0,4,2,1,629.0,Eastern Metropolitan,3540,1101500,12
Seddon,3,h,Burnham,2016-03-09,6.6,3011.0,3,1,1,350.0,Western Metropolitan,2417,1145000,8
South Melbourne,2,u,Dingle,2016-03-09,2.1,3205.0,2,2,1,50.0,Southern Metropolitan,5943,593000,7
South Melbourne,4,h,Marshall,2016-03-09,2.1,3205.0,3,1,1,593.0,Southern Metropolitan,5943,2000000,9
South Melbourne,3,h,Marshall,2016-03-09,2.1,3205.0,3,2,1,88.0,Southern Metropolitan,5943,1600000,9
South Yarra,2,u,Jellis,2016-03-09,3.3,3141.0,1,1,1,50.0,Southern Metropolitan,14887,531000,5
South Yarra,2,u,Kay,2016-03-09,3.3,3141.0,1,1,1,50.0,Southern Metropolitan,14887,788750,5
South Yarra,1,u,hockingstuart,2016-03-09,3.3,3141.0,2,1,1,50.0,Southern Metropolitan,14887,430000,5
South Yarra,2,u,Jellis,2016-03-09,3.3,3141.0,2,1,1,50.0,Southern Metropolitan,14887,722000,6
South Yarra,2,u,hockingstuart,2016-03-09,3.3,3141.0,2,2,2,50.0,Southern Metropolitan,14887,930000,8
South Yarra,1,u,McGrath,2016-03-09,3.3,3141.0,1,1,1,50.0,Southern Metropolitan,14887,467500,4
South Yarra,2,u,Buxton,2016-03-09,3.3,3141.0,2,1,0,50.0,Southern Metropolitan,14887,475000,5
Southbank,3,u,VICPROP,2016-03-09,1.2,3006.0,3,1,1,50.0,Southern Metropolitan,8400,720000,8
Spotswood,3,h,hockingstuart,2016-03-09,7.7,3015.0,3,1,3,690.0,Western Metropolitan,1223,1040000,10
St Kilda,2,u,hockingstuart,2016-03-09,6.1,3182.0,2,1,1,50.0,Southern Metropolitan,13240,509000,6
St Kilda,4,h,hockingstuart,2016-03-09,6.1,3182.0,3,1,1,593.0,Southern Metropolitan,13240,2400000,9
