lead_time,market_segment_type,no_of_special_requests,avg_price_per_room,no_of_adults,no_of_weekend_nights,arrival_date,required_car_parking_space,no_of_week_nights,booking_status
20,Online,2,88.0,2,2,2018-12-25,0,0,Not_Canceled
40,Online,0,98.82,2,1,2018-03-14,0,4,Not_Canceled
46,Online,1,98.3,2,1,2018-03-04,1,2,Not_Canceled
1,Online,2,150.0,1,1,2018-10-17,0,0,Not_Canceled
196,Online,1,96.05,2,2,2018-09-04,0,3,Not_Canceled
188,Online,0,130.0,1,0,2018-06-15,0,2,Canceled
17,Online,0,95.0,2,0,2018-12-10,0,1,Not_Canceled
146,Offline,0,113.56,2,0,2018-08-09,0,3,Not_Canceled
110,Online,1,101.58,2,1,2018-05-05,0,3,Not_Canceled
68,Online,0,105.3,2,1,2018-03-18,1,2,Not_Canceled
73,Online,1,115.8,2,2,2018-04-09,0,1,Not_Canceled
92,Online,1,149.4,2,0,2018-05-19,0,1,Not_Canceled
171,Online,0,111.59,2,2,2018-08-30,0,5,Canceled
134,Online,2,130.5,2,0,2018-08-04,1,2,Not_Canceled
320,Online,1,115.0,2,0,2018-08-18,0,2,Canceled
118,Online,1,90.95,2,0,2018-04-13,0,4,Not_Canceled
30,Online,1,76.08,2,0,2018-11-17,0,3,Not_Canceled
30,Online,0,156.9,2,1,2018-12-22,0,3,Not_Canceled
189,Online,2,85.5,2,1,2018-10-23,0,0,Not_Canceled
55,Online,2,159.3,3,1,2018-05-13,0,2,Not_Canceled
55,Online,2,74.8,1,0,2018-12-13,0,4,Not_Canceled
16,Online,1,95.0,2,0,2017-10-31,0,1,Not_Canceled
24,Online,1,107.0,2,0,2017-10-08,0,3,Not_Canceled
8,Offline,0,64.0,2,0,2018-02-16,0,3,Not_Canceled
10,Online,0,82.95,2,1,2017-11-02,1,4,Not_Canceled
0,Online,1,155.0,2,1,2017-09-21,0,3,Not_Canceled
12,Online,1,101.68,2,0,2018-06-30,0,1,Not_Canceled
32,Online,3,94.5,2,2,2017-09-05,0,1,Not_Canceled
182,Online,2,117.9,2,0,2018-09-30,0,2,Canceled
1,Online,1,127.0,2,1,2018-06-27,0,0,Not_Canceled
122,Online,2,116.1,2,0,2018-06-16,0,3,Not_Canceled
40,Online,1,117.9,2,2,2018-06-30,0,3,Not_Canceled
116,Online,1,184.24,2,2,2018-06-26,0,2,Canceled
123,Online,1,155.7,3,2,2018-08-13,1,2,Not_Canceled
40,Online,0,135.76,3,2,2018-04-22,0,5,Canceled
105,Online,3,102.83,2,2,2018-11-12,0,5,Not_Canceled
443,Online,0,65.0,2,0,2018-04-29,0,1,Canceled
2,Online,1,103.0,2,2,2017-11-14,0,3,Not_Canceled
317,Online,1,106.2,2,0,2018-09-01,0,3,Canceled
286,Offline,0,58.5,2,0,2018-09-16,0,2,Not_Canceled
68,Online,0,73.95,2,1,2018-03-10,0,3,Canceled
148,Online,0,105.3,2,0,2018-05-05,0,3,Not_Canceled
68,Online,2,133.2,3,2,2018-04-24,0,0,Not_Canceled
30,Offline,0,85.5,2,0,2018-03-30,0,2,Not_Canceled
14,Online,1,112.0,1,0,2018-11-03,0,1,Canceled
110,Online,0,190.8,2,0,2018-10-14,0,2,Canceled
117,Offline,0,110.0,1,2,2018-06-05,0,3,Not_Canceled
85,Online,1,91.48,2,1,2018-07-13,0,4,Not_Canceled
1,Online,2,135.0,2,0,2018-10-20,0,2,Not_Canceled
25,Online,2,129.0,1,1,2018-10-17,0,2,Not_Canceled
289,Online,2,70.55,2,2,2018-12-28,0,4,Canceled
28,Offline,0,75.0,2,1,2017-10-19,0,4,Not_Canceled
80,Online,0,72.25,1,0,2018-03-29,0,4,Not_Canceled
11,Online,2,155.0,2,0,2017-10-09,0,1,Not_Canceled
162,Online,2,121.5,2,1,2018-07-25,0,0,Canceled
155,Online,2,90.95,2,2,2018-06-28,0,5,Not_Canceled
82,Online,0,109.65,1,2,2018-05-22,0,2,Not_Canceled
27,Online,0,142.72,3,2,2018-04-15,0,4,Canceled
13,Offline,0,90.0,1,1,2018-05-09,0,2,Not_Canceled
245,Online,0,75.0,2,0,2018-06-17,0,2,Canceled
11,Online,1,111.0,2,0,2018-11-18,0,2,Canceled
266,Online,2,86.7,2,2,2018-10-30,0,2,Not_Canceled
39,Online,1,117.9,2,1,2018-03-28,0,0,Not_Canceled
13,Online,1,0.0,1,0,2018-06-01,0,2,Not_Canceled
112,Online,1,101.58,2,0,2018-05-04,0,4,Not_Canceled
88,Online,1,58.9,2,1,2018-04-08,0,2,Not_Canceled
56,Offline,0,120.0,2,0,2018-06-08,0,1,Not_Canceled
73,Online,0,107.1,2,2,2018-04-07,0,3,Canceled
80,Online,1,126.9,2,1,2018-05-02,0,1,Not_Canceled
130,Online,2,139.5,2,0,2018-09-29,0,3,Canceled
69,Online,1,80.75,2,1,2018-04-04,0,3,Not_Canceled
273,Online,0,109.0,2,0,2017-07-17,0,2,Canceled
55,Offline,0,104.0,2,0,2018-04-06,0,1,Not_Canceled
4,Online,1,65.0,1,0,2018-11-01,0,3,Not_Canceled
97,Online,0,140.4,2,0,2018-05-24,0,3,Not_Canceled
44,Offline,0,75.0,2,0,2018-02-17,0,3,Not_Canceled
31,Online,0,94.5,2,0,2018-04-14,0,1,Canceled
0,Online,0,109.0,2,1,2018-06-05,0,0,Not_Canceled
62,Online,2,105.0,2,2,2018-11-12,0,2,Not_Canceled
86,Online,1,107.95,2,2,2018-04-17,0,2,Not_Canceled
3,Online,1,215.6,3,2,2018-10-07,0,2,Not_Canceled
197,Online,1,85.5,2,1,2018-08-01,0,1,Not_Canceled
143,Online,2,105.3,2,0,2018-07-12,0,2,Not_Canceled
23,Online,0,1.0,1,2,2018-01-02,0,1,Not_Canceled
8,Online,0,156.0,2,0,2018-06-15,0,2,Canceled
13,Online,1,73.15,1,0,2018-11-16,0,2,Not_Canceled
280,Online,0,110.0,2,1,2018-09-19,0,2,Canceled
11,Online,1,87.4,2,1,2017-09-13,0,0,Not_Canceled
317,Online,0,120.0,2,0,2018-09-15,0,2,Canceled
185,Online,0,79.2,2,1,2018-12-16,0,2,Canceled
160,Online,1,90.95,2,1,2018-06-30,0,3,Not_Canceled
104,Online,1,91.48,2,0,2018-10-18,0,4,Not_Canceled
11,Online,1,150.0,2,0,2018-11-05,0,1,Canceled
2,Online,0,89.0,2,0,2018-03-22,0,1,Not_Canceled
14,Online,1,91.43,2,1,2018-08-17,0,4,Not_Canceled
22,Offline,0,140.0,2,0,2018-05-20,0,2,Not_Canceled
37,Online,0,87.78,1,2,2017-10-24,0,5,Not_Canceled
292,Online,0,115.0,2,0,2018-07-21,0,2,Canceled
11,Online,1,80.85,2,0,2017-09-09,0,3,Not_Canceled
86,Online,1,82.45,2,1,2018-03-31,0,3,Not_Canceled
109,Online,0,108.0,2,0,2018-10-11,0,1,Canceled
72,Online,1,96.3,2,1,2018-04-02,0,1,Not_Canceled
196,Online,0,99.45,2,1,2018-08-22,0,5,Canceled
56,Online,1,140.4,2,0,2018-05-13,0,2,Not_Canceled
189,Offline,0,72.25,2,1,2018-08-08,0,3,Not_Canceled
126,Online,0,126.0,2,1,2018-08-15,0,4,Not_Canceled
303,Online,0,78.0,2,2,2018-08-19,0,3,Canceled
81,Online,1,146.6,1,2,2018-11-06,0,2,Not_Canceled
54,Online,0,118.8,2,1,2018-10-10,0,2,Canceled
15,Online,0,145.0,1,0,2018-10-06,0,1,Canceled
86,Online,0,84.58,2,0,2018-04-06,0,4,Canceled
161,Online,0,130.0,2,1,2018-03-25,0,2,Canceled
147,Online,1,118.88,2,4,2018-08-03,0,10,Canceled
92,Offline,0,101.52,2,1,2018-05-30,0,2,Not_Canceled
87,Online,0,100.0,2,0,2017-09-11,0,1,Canceled
109,Offline,0,58.0,2,2,2018-03-20,0,1,Not_Canceled
127,Offline,2,61.5,2,0,2018-03-23,0,4,Not_Canceled
418,Online,0,107.0,2,1,2018-09-26,0,2,Canceled
156,Online,1,87.3,2,1,2018-08-24,0,4,Not_Canceled
80,Online,1,76.5,2,0,2017-07-16,0,2,Canceled
211,Online,0,63.75,2,2,2018-12-16,0,2,Canceled
273,Online,0,95.0,2,1,2018-05-13,0,2,Canceled
58,Offline,1,75.0,2,2,2018-11-19,0,1,Not_Canceled
433,Online,0,70.0,2,0,2018-09-08,0,3,Canceled
111,Online,1,101.58,2,1,2018-05-02,0,3,Not_Canceled
34,Offline,0,85.0,2,2,2018-08-21,0,3,Not_Canceled
17,Online,0,98.39,2,2,2018-12-03,0,4,Not_Canceled
4,Online,1,0.0,1,0,2018-02-27,0,0,Not_Canceled
6,Online,1,106.07,2,0,2017-09-22,0,3,Not_Canceled
32,Offline,1,105.0,2,1,2018-07-18,0,1,Not_Canceled
4,Online,2,145.0,2,0,2017-09-22,0,1,Not_Canceled
195,Online,1,106.03,3,2,2018-08-13,0,1,Canceled
119,Online,1,114.3,2,2,2018-08-13,0,2,Not_Canceled
13,Online,0,88.0,1,1,2018-12-05,0,1,Not_Canceled
59,Online,2,89.25,2,0,2017-10-15,0,2,Not_Canceled
78,Online,1,86.32,2,2,2018-03-20,0,5,Not_Canceled
335,Offline,1,90.0,2,0,2018-10-13,0,3,Not_Canceled
103,Online,0,55.96,2,2,2017-08-22,0,5,Not_Canceled
0,Online,1,109.0,1,0,2018-06-08,0,2,Not_Canceled
118,Offline,0,86.0,2,0,2018-03-01,0,1,Not_Canceled
56,Online,0,118.95,2,1,2018-09-05,0,5,Not_Canceled
107,Offline,1,130.0,2,0,2018-06-10,0,2,Not_Canceled
70,Online,1,90.56,2,1,2018-04-14,0,3,Not_Canceled
76,Online,1,87.3,2,0,2018-04-01,0,2,Not_Canceled
144,Online,1,177.65,2,2,2018-05-27,0,2,Canceled
4,Online,2,200.75,1,2,2017-09-19,0,2,Not_Canceled
15,Online,1,127.0,2,0,2018-03-18,0,2,Not_Canceled
32,Online,0,72.9,1,1,2018-02-05,0,2,Canceled
49,Online,0,159.3,3,1,2018-05-07,0,1,Canceled
77,Online,1,135.15,2,1,2018-05-12,0,3,Not_Canceled
22,Offline,0,90.0,1,0,2018-10-28,0,2,Not_Canceled
0,Online,0,114.0,2,1,2017-10-18,0,0,Not_Canceled
58,Online,1,125.1,2,0,2018-06-21,1,1,Not_Canceled
4,Online,1,95.13,2,2,2017-08-14,0,6,Not_Canceled
117,Online,0,105.84,2,0,2018-04-29,0,2,Canceled
36,Online,0,102.0,2,1,2018-12-26,0,3,Canceled
35,Online,2,74.8,2,2,2018-12-02,0,2,Not_Canceled
31,Online,0,94.5,2,1,2018-04-24,0,0,Canceled
79,Online,0,120.6,2,2,2018-06-16,0,4,Not_Canceled
1,Online,0,139.33,2,1,2017-10-09,0,2,Not_Canceled
21,Online,0,105.0,2,0,2017-09-03,0,2,Not_Canceled
12,Online,1,100.0,2,0,2018-09-14,0,2,Not_Canceled
33,Online,1,80.3,2,1,2018-02-08,0,0,Not_Canceled
164,Offline,0,100.0,1,0,2017-10-02,0,2,Not_Canceled
78,Online,1,105.3,2,0,2018-03-24,1,3,Not_Canceled
18,Online,0,112.8,2,0,2018-05-31,0,4,Canceled
21,Online,0,151.0,2,1,2018-08-15,0,2,Canceled
0,Online,1,91.0,1,1,2017-11-09,0,3,Not_Canceled
152,Online,1,146.7,3,2,2018-08-13,0,1,Canceled
43,Offline,0,58.4,2,2,2017-10-02,0,3,Not_Canceled
177,Online,1,80.75,2,0,2018-07-26,0,4,Canceled
47,Offline,0,76.5,2,1,2018-05-21,0,1,Not_Canceled
57,Online,0,140.13,3,0,2018-09-07,0,3,Not_Canceled
60,Online,1,76.0,2,2,2017-11-15,0,4,Not_Canceled
0,Online,0,200.0,2,0,2017-09-16,0,1,Not_Canceled
102,Online,0,101.5,2,0,2017-10-16,0,2,Canceled
71,Online,1,108.0,2,0,2018-10-18,0,3,Not_Canceled
111,Online,1,189.0,3,2,2018-07-23,0,3,Not_Canceled
1,Online,3,166.0,3,1,2018-06-11,0,1,Not_Canceled
4,Online,0,67.5,2,1,2018-01-16,0,1,Not_Canceled
25,Online,1,78.54,2,1,2017-09-14,0,3,Not_Canceled
209,Online,1,152.1,1,2,2018-11-06,0,2,Canceled
93,Online,0,115.0,1,2,2018-10-15,0,1,Canceled
53,Online,2,66.53,2,2,2017-09-02,0,5,Not_Canceled
1,Online,1,0.0,1,0,2017-08-12,0,2,Not_Canceled
4,Online,1,0.0,1,2,2017-08-23,0,1,Not_Canceled
302,Online,2,90.3,2,0,2018-12-29,0,3,Canceled
122,Offline,0,85.0,2,0,2018-04-15,0,2,Not_Canceled
16,Online,0,75.0,1,0,2018-03-11,0,1,Not_Canceled
28,Online,1,115.37,2,2,2018-08-28,0,4,Canceled
161,Online,0,130.0,2,1,2018-03-25,0,2,Canceled
57,Online,2,126.0,3,0,2018-12-09,0,2,Not_Canceled
19,Online,1,94.35,2,1,2018-06-12,0,0,Not_Canceled
109,Online,4,118.46,3,2,2018-07-06,0,4,Not_Canceled
239,Online,0,90.6,1,0,2018-06-15,0,2,Canceled
33,Online,2,82.9,1,2,2018-03-05,0,1,Not_Canceled
11,Online,1,95.33,2,0,2017-08-18,0,3,Not_Canceled
40,Online,1,135.64,3,2,2018-04-21,0,5,Not_Canceled
45,Offline,0,122.4,3,1,2018-06-18,0,1,Not_Canceled
41,Online,0,116.1,2,1,2018-05-09,0,3,Canceled
167,Online,0,62.18,2,0,2018-06-28,0,4,Canceled
62,Online,0,63.75,2,0,2018-03-09,0,4,Canceled
113,Online,0,118.8,1,1,2018-09-07,0,4,Canceled
1,Online,0,167.0,2,0,2018-08-10,1,2,Not_Canceled
84,Online,1,187.85,2,2,2018-05-13,0,2,Not_Canceled
68,Online,1,108.38,0,2,2018-04-24,0,2,Canceled
9,Online,1,0.0,2,0,2018-09-07,0,1,Not_Canceled
245,Online,0,128.7,3,1,2018-10-28,0,2,Canceled
80,Online,1,80.33,2,1,2018-03-17,0,3,Not_Canceled
7,Online,1,140.0,2,1,2018-08-22,0,1,Canceled
128,Online,2,76.5,2,1,2017-08-08,0,1,Not_Canceled
100,Online,1,105.3,2,2,2018-05-01,0,1,Not_Canceled
118,Online,1,87.3,2,2,2018-04-03,0,1,Canceled
166,Online,0,110.0,1,0,2018-11-01,0,3,Canceled
41,Offline,0,83.0,1,0,2017-09-04,0,1,Not_Canceled
174,Online,1,99.45,2,2,2018-08-13,0,2,Not_Canceled
27,Offline,3,104.5,2,2,2017-12-27,0,1,Not_Canceled
2,Online,2,92.54,2,2,2018-11-16,0,6,Not_Canceled
37,Offline,0,95.0,1,0,2018-10-13,0,3,Not_Canceled
188,Online,0,130.0,1,0,2018-06-15,0,2,Canceled
68,Offline,1,63.0,2,2,2018-01-02,0,1,Not_Canceled
189,Online,0,109.8,2,1,2018-10-28,0,2,Canceled
10,Online,0,103.0,2,1,2018-05-16,0,0,Not_Canceled
19,Online,1,130.0,3,2,2018-02-20,0,1,Not_Canceled
61,Online,0,117.0,2,0,2018-03-23,0,2,Canceled
95,Offline,0,60.5,2,0,2017-12-29,0,4,Not_Canceled
83,Offline,0,112.2,2,0,2017-09-30,0,1,Not_Canceled
37,Online,0,135.9,2,1,2018-08-01,0,3,Canceled
19,Online,1,151.0,2,1,2018-07-25,0,0,Canceled
22,Online,2,239.0,2,0,2018-09-16,0,2,Not_Canceled
22,Online,0,59.09,2,2,2017-12-26,0,1,Not_Canceled
151,Online,0,103.09,2,2,2018-07-09,0,5,Canceled
26,Offline,0,87.0,2,2,2018-02-28,0,1,Not_Canceled
27,Online,0,137.0,3,1,2018-04-17,0,0,Canceled
79,Offline,0,109.0,2,0,2018-06-24,0,2,Not_Canceled
247,Online,1,115.0,2,1,2018-06-06,0,1,Canceled
189,Online,1,99.45,2,2,2018-07-17,0,3,Not_Canceled
320,Online,1,115.0,2,0,2018-08-18,0,2,Canceled
27,Online,2,130.0,3,1,2018-02-22,0,2,Not_Canceled
51,Online,0,65.0,1,1,2018-05-22,0,0,Not_Canceled
245,Online,0,75.0,2,0,2018-06-17,0,2,Canceled
52,Online,0,132.9,2,1,2018-07-08,0,2,Canceled
13,Online,0,120.0,1,2,2017-10-18,0,0,Not_Canceled
46,Online,1,79.2,2,0,2018-11-11,0,2,Canceled
84,Online,0,159.3,3,2,2018-08-28,0,1,Canceled
188,Online,0,130.0,1,0,2018-06-15,0,2,Canceled
19,Offline,0,90.0,2,0,2017-10-06,0,3,Not_Canceled
67,Online,1,140.4,2,0,2018-05-27,0,2,Not_Canceled
0,Online,0,75.0,2,0,2017-08-11,0,1,Not_Canceled
273,Online,0,109.0,2,0,2017-07-17,0,2,Canceled
110,Online,0,94.5,2,2,2017-07-25,0,1,Canceled
0,Online,0,75.0,1,0,2017-12-15,0,1,Not_Canceled
32,Offline,1,75.0,2,1,2017-10-23,0,2,Not_Canceled
282,Offline,0,76.67,2,2,2017-10-10,0,1,Not_Canceled
38,Online,0,126.0,2,2,2018-10-02,0,2,Not_Canceled
175,Online,1,85.5,2,1,2018-07-23,0,1,Not_Canceled
143,Online,0,140.7,2,0,2018-08-18,0,3,Canceled
127,Online,1,103.7,2,2,2018-06-26,0,2,Not_Canceled
0,Online,0,142.0,1,0,2017-09-08,0,1,Not_Canceled
95,Online,3,103.7,2,2,2018-12-21,0,5,Not_Canceled
118,Offline,0,110.0,1,1,2018-06-06,0,2,Not_Canceled
45,Offline,0,75.0,2,0,2018-11-10,0,3,Not_Canceled
69,Online,0,137.7,3,1,2018-07-25,0,1,Not_Canceled
57,Online,3,87.3,2,0,2018-09-07,0,1,Not_Canceled
5,Online,4,0.0,1,0,2018-08-24,0,2,Not_Canceled
39,Offline,0,101.5,2,0,2017-08-14,0,2,Not_Canceled
0,Online,1,97.0,2,0,2018-02-24,0,1,Not_Canceled
89,Online,1,150.3,3,1,2018-08-15,0,1,Not_Canceled
85,Online,0,82.45,2,0,2018-03-29,0,4,Not_Canceled
4,Online,1,103.0,1,0,2018-07-01,1,1,Not_Canceled
11,Online,0,145.0,1,2,2018-07-05,0,6,Canceled
12,Online,1,145.0,1,1,2018-07-11,0,1,Not_Canceled
77,Online,1,134.85,2,2,2018-05-14,0,2,Not_Canceled
14,Online,1,168.25,2,1,2018-10-22,0,1,Not_Canceled
1,Online,0,60.0,1,2,2018-02-28,0,1,Canceled
133,Offline,0,76.0,2,1,2018-06-13,0,3,Not_Canceled
3,Offline,1,63.5,2,1,2017-08-10,0,2,Not_Canceled
19,Offline,0,95.0,2,2,2018-09-18,0,0,Not_Canceled
86,Offline,3,90.95,2,2,2018-09-03,0,2,Not_Canceled
23,Online,2,98.4,2,0,2017-10-16,0,2,Not_Canceled
65,Online,1,135.9,2,0,2018-09-22,0,1,Not_Canceled
1,Online,1,130.0,2,0,2018-11-16,0,2,Not_Canceled
66,Online,2,81.9,2,0,2017-11-19,0,1,Not_Canceled
50,Online,1,78.85,3,1,2018-02-22,0,4,Not_Canceled
87,Online,0,141.3,2,2,2018-06-26,0,3,Canceled
159,Offline,1,70.0,2,1,2018-04-09,0,1,Not_Canceled
39,Online,2,170.1,2,2,2018-08-13,0,3,Not_Canceled
386,Online,1,115.0,2,2,2018-10-23,0,0,Canceled
22,Online,0,199.0,2,0,2017-12-29,0,5,Not_Canceled
102,Offline,0,82.45,2,2,2018-07-10,0,2,Not_Canceled
86,Online,1,192.86,4,0,2018-10-20,0,3,Not_Canceled
56,Offline,0,185.0,2,2,2017-09-25,0,2,Not_Canceled
36,Online,1,68.07,2,2,2018-12-10,0,6,Not_Canceled
50,Online,1,118.8,2,0,2018-10-04,0,3,Not_Canceled
115,Online,0,104.4,2,0,2018-10-27,0,2,Canceled
0,Online,0,65.0,1,0,2018-03-23,0,1,Not_Canceled
35,Online,0,71.1,2,1,2018-03-03,0,3,Canceled
17,Offline,0,95.0,2,2,2018-05-21,0,1,Not_Canceled
237,Online,1,116.62,2,4,2018-09-13,0,11,Canceled
125,Online,2,136.0,2,0,2018-09-07,0,4,Not_Canceled
32,Online,0,147.9,2,2,2018-12-02,0,2,Canceled
5,Offline,0,123.7,2,2,2018-09-18,0,0,Not_Canceled
91,Online,0,135.9,2,2,2018-06-19,0,1,Canceled
102,Offline,0,109.0,2,0,2017-10-16,0,2,Not_Canceled
9,Online,1,186.0,3,2,2018-03-20,0,1,Not_Canceled
155,Online,1,115.6,3,1,2018-12-26,0,3,Canceled
0,Online,0,221.0,2,0,2018-05-14,0,1,Canceled
11,Online,0,65.0,1,0,2017-09-15,0,3,Not_Canceled
0,Online,0,80.0,1,0,2018-02-19,0,1,Not_Canceled
86,Offline,0,73.83,2,1,2018-03-23,0,4,Not_Canceled
18,Online,0,67.0,1,0,2018-10-18,1,1,Not_Canceled
58,Online,1,80.3,2,0,2018-03-04,0,2,Not_Canceled
54,Offline,0,85.0,2,2,2018-04-30,0,1,Not_Canceled
25,Online,1,152.1,2,2,2018-07-23,0,3,Canceled
107,Online,1,89.25,2,0,2017-09-09,0,2,Not_Canceled
100,Offline,0,110.0,1,0,2018-09-28,0,4,Not_Canceled
273,Online,0,95.0,2,1,2018-05-13,0,2,Canceled
29,Online,0,79.0,2,0,2018-03-18,0,1,Not_Canceled
221,Online,0,80.0,2,0,2018-08-12,0,1,Canceled
213,Online,2,102.85,2,2,2018-10-01,0,2,Canceled
198,Online,0,90.0,2,1,2018-09-09,0,2,Canceled
81,Online,2,62.37,2,1,2018-01-29,0,2,Not_Canceled
23,Online,0,98.0,2,0,2018-04-08,0,1,Not_Canceled
26,Online,1,117.67,2,0,2017-09-17,0,3,Canceled
20,Online,1,141.0,2,2,2018-06-18,0,1,Not_Canceled
124,Online,2,156.61,2,1,2018-12-26,0,3,Canceled
85,Online,0,152.1,3,0,2018-08-03,0,3,Canceled
167,Online,0,105.3,2,0,2018-08-06,0,1,Canceled
71,Online,1,119.85,2,1,2018-05-30,0,3,Not_Canceled
48,Online,2,97.2,2,0,2018-11-04,0,2,Not_Canceled
37,Online,0,116.1,1,0,2018-05-13,0,1,Not_Canceled
76,Online,0,150.45,3,2,2018-05-29,0,2,Canceled
13,Offline,0,71.0,1,0,2018-01-20,0,1,Not_Canceled
3,Online,0,0.0,1,1,2018-06-27,0,0,Not_Canceled
